Student_ID,Student_Phone_No
796,85865556528
133,44737258468
252,10241207572
969,80457507284
679,34153521564
553,21431145273
813,70075102550
698,14485032483
682,16503735026
393,53546286061
677,64024128535
864,48761457603
163,37418554583
860,60088761668
801,31441285087
631,61806125408
94,46772236866
795,228667232
841,86344223130
439,30274158318
693,88562170408
660,78263355078
900,48306246665
467,54105083158
598,88404360062
331,67215181260
875,14088477860
785,63228538272
810,66685631857
24,26158438644
164,85153153121
163,67113871518
273,47874212258
4,46770470487
121,21575256681
581,16770871716
754,8003864874
325,63580235426
268,58050521476
661,25361652241
755,27157027273
466,81335378586
450,85375300722
212,45334734177
2,22686113166
255,54187255817
900,3365220634
406,51351707807
79,63571200377
291,63783651863
677,80401888530
200,53733486208
764,1324518088
194,60848863252
977,81737537168
41,46481115456
351,54733444743
363,76045108078
238,46214642347
317,60352420200
442,5024626558
629,23018083776
514,73645783670
789,52661161163
934,31121552844
142,6066584224
674,22260530061
518,66102770755
370,457851548
904,37221312558
974,37243376586
948,17100872726
441,45834364141
959,61725124021
352,10166610178
808,34221276523
923,15650132351
407,10632168287
76,80264468624
80,85003637271
151,43344461655
983,85687267464
699,6445061811
92,2315323801
774,83801257863
759,81567406358
580,74213068564
210,5064313762
378,74440332432
611,84478412536
224,43204460282
839,52823165336
947,72435863628
602,2705138152
687,47845170521
189,3421802231
53,36810661067
707,2753886058
296,50625831570
963,16075012471
952,13833386654
5,3503602173
648,70104677771
155,618224207
144,30877862024
323,27207611230
358,87385737106
451,68070816448
20,1647588858
945,57617602172
910,62132274828
392,17851641002
265,18763671877
586,45656302728
24,64043175071
306,30114643830
565,7450837070
803,52768245331
572,27717502444
508,52504225025
204,86467315582
174,12047620731
668,54110548252
88,2403776838
255,17620435570
369,28583285883
515,22504461478
290,71861642116
400,28254322320
733,73110773021
207,31324120426
549,11615675027
847,53132338702
300,8728825558
965,16633401346
81,88718760731
670,85600128311
599,58428184162
969,10677806504
776,78012666714
976,24064541268
909,44141304474
983,7240418564
348,73285240015
774,41531044806
700,28174837876
766,10712387148
884,77741036555
657,15417776371
116,13141847028
747,17584015318
675,87836238563
839,78460758668
43,18236568345
406,81177814460
547,43555081781
791,80288343207
832,66075453768
325,1324350037
794,51412523567
850,433682188
843,81774673721
411,83114462242
436,81523556261
88,63878486813
926,56762553838
320,4825302204
102,47365447766
686,78460713356
470,46140165261
413,17748143623
620,83138068082
848,38750131705
266,85320362244
648,82518132580
938,38357267783
265,63861847316
764,42166260547
163,306670734
577,25053142150
600,10142361465
97,54162581753
68,20538584078
711,43736204080
898,6855875501
205,72276107531
912,74344702062
227,63708304155
386,1687225406
141,42060811801
383,20722662804
373,1463665664
715,22323438835
845,38272324656
911,33623465408
4,24845436453
453,37324085547
974,60536832824
799,47712837028
482,13131336686
563,88842040257
681,27361884112
370,78158714022
263,7507815441
321,86560136656
326,77043250416
315,37620573686
293,13487543121
962,75117177822
139,41616258073
997,75185211664
350,35450828134
675,73576278213
220,8161146636
82,68714373140
221,52338402225
154,65688784651
688,35472004781
830,60623374364
938,58434540168
256,81812026382
822,6126626141
426,45024058142
181,45133646663
760,32244203846
614,8222264486
102,47240467228
227,71474720852
427,31338723410
607,85336727004
152,67066618571
881,2738465178
886,37212432626
161,75660000343
430,88752707812
904,40604717565
423,70507748471
311,66872725272
11,38552471336
275,20006235733
764,83574810755
877,27580882865
217,71883510576
899,88632645317
840,54573172730
241,81613524160
54,24821875312
909,3530305844
168,2177258345
853,14075377761
74,87465306071
966,78704344672
477,32056532018
958,77204763300
630,46332621583
346,34043786872
593,14070803230
997,28027738485
999,72841356472
827,64167800302
444,75714202708
740,85186344615
313,65047557046
558,44116086436
310,71284765854
882,24323164754
303,23662872766
700,25327058827
174,56236241686
108,8306185768
745,64660438450
526,54552583821
847,65162238645
194,56015654773
297,43216574270
445,35621161740
563,47616607271
897,81216086557
10,3261140365
852,75757114372
5,74365287061
345,32603142433
100,22834252027
573,76407770442
509,41022043024
307,24361720412
721,53365357838
338,13807344127
326,30751203736
827,56766637504
776,81116643503
531,40563547514
71,46748862406
30,8517314321
674,15485606615
907,80463003246
519,82828062513
272,36578838261
830,83122635880
301,67654327612
577,41331711013
559,83877634630
202,16384316047
99,28316815316
25,33887771121
487,31668643575
787,21671370835
55,31725680787
543,14566235716
651,10863148552
806,71688483315
640,71250012421
577,62664785278
527,54632328428
283,77853825011
670,71742038260
510,37818103237
601,82124234204
50,46648800732
543,1580633325
964,70482513386
254,45433674052
370,64355061165
898,31712810433
522,28054082701
792,25622416858
196,85203183072
673,607303808
601,18781656085
830,67751763302
146,70844528667
497,20131450372
965,54112421660
169,61235610823
180,52173168687
991,40614675805
64,22466202185
960,33740136228
611,8524725515
123,68148474467
45,72475868276
831,56736821767
85,88663312053
174,24063577137
197,64743511447
639,10476460350
219,85718884050
902,55733167535
341,8165670355
859,70254245052
124,53618254841
962,71836840805
344,81227824601
255,5108072727
362,31711115632
854,2601626062
165,63081345278
634,11248445220
721,37010025763
747,2338641208
978,36741674334
321,22425263753
637,1656733817
283,16417736611
664,12582417314
25,2658131321
839,75581678804
533,13038088241
600,16756028071
724,71563400614
487,132143307
471,72287533224
872,32574178224
698,77582727217
88,10216116420
90,46821814650
1,4030552345
410,85110725643
505,88638235821
286,7675660143
506,60383424054
74,82201845481
318,3887334415
877,84238513257
418,45718607807
922,42662046541
694,60676604544
203,41461787538
736,74120178314
953,1110338641
51,56474302180
141,46346473646
54,56620802316
345,50480171106
343,8216630041
760,67218663007
710,7246485032
92,57556520762
278,85232220041
888,47345462514
44,10536772505
98,24370101661
889,26430866012
207,58216724221
78,18231323760
976,24252801111
90,87383650432
112,62458738828
242,46131088714
310,3011038218
13,33127215813
663,52734224715
556,71687803618
769,85140737834
872,10387411754
618,42681084204
938,6407653686
857,50428782040
728,3684050437
65,81210085483
131,45441275668
447,6862531142
847,47185411053
872,40815232170
336,12284180360
364,7814734201
233,61570065677
358,22575347050
737,31634501001
297,51828362058
260,14774311173
942,22107621132
415,42768767132
985,62567016688
666,25332716142
268,54221568012
569,5201465213
281,33432462831
388,77501050372
700,40566603088
788,13553856482
357,75315284078
212,80423627878
850,48632524717
163,27760363336
341,33265330646
626,55235336138
547,75750430238
812,24837746011
456,3700010468
38,47810531540
111,48838135334
763,63012824487
992,82547874265
49,6132251214
708,41861554084
620,48744040700
460,68122666788
638,81361081248
385,31525384048
268,32231664814
387,57760812077
95,4130454202
881,65056332625
768,51313524312
696,53345015480
454,84453537737
943,3057745220
361,88560025182
826,15067372444
229,85664315415
520,6671270124
202,66784674436
493,24067628856
49,68126306140
728,52063106825
652,11238420061
547,54702036330
615,54564803341
525,15652857041
807,38388727057
461,84506711328
605,36436150373
555,50451244726
843,35123831875
202,37070600004
596,25817461850
146,3633157421
386,15411563058
791,82340426787
678,85683608358
254,5827504384
146,70600352661
524,87834833303
484,48817328140
347,80880542333
46,66834077624
170,43334133753
482,4364110474
168,37416266463
630,21710020342
23,60241456728
629,62548503164
353,38845478443
733,1580660213
853,36164888471
141,41033002774
785,80248401510
836,21355411844
907,53510004236
455,64807052020
283,54626374437
596,88040558388
112,51388172225
552,36784282531
881,80246085556
515,7424525240
317,66400541040
822,83523886028
638,65680553086
8,57500444763
162,80135323773
346,75148670555
615,28647378250
39,31665217321
513,30518243340
726,56530302500
690,81323710611
799,65000557180
922,67602882081
807,81052004576
367,30184148045
581,1671877420
891,50518438135
266,60773164534
119,21258770822
419,53850646440
200,18324521537
791,16824534632
19,11388756104
53,45428171413
375,61181546530
428,23267051187
931,444140601
760,65555630400
555,81235217328
74,8247062240
272,40434638085
373,70447333654
590,47133724008
529,66267800376
771,51371558488
657,48415127186
75,5564315137
230,33343006751
809,47415756327
469,88306240126
190,77418823471
624,80037170574
474,58051051023
725,33730401670
718,11284658385
916,86131846538
427,33807367723
52,76636333774
414,25862307175
120,64002705314
507,21018554756
203,38442480056
148,32107701144
149,38841021675
246,25371335377
650,45684508430
309,53783534686
276,41860764020
603,32517668402
833,54274385834
298,52865412225
95,81581673711
562,47062468625
544,60287043718
314,68315033131
746,44074535402
135,47475662860
338,5358133754
412,85727275625
789,54735866367
957,26626728318
980,84368356850
398,38687682778
160,54888644574
198,40600006528
789,3051510421
509,36711565343
788,8277242517
604,57206462725
361,28504234825
241,32116882714
257,26887186275
938,64626253206
410,25482340326
777,23663784623
280,15454181046
261,68483444688
360,58840168117
663,77423467640
411,20016851510
602,13087614171
510,2012151841
79,5215505780
914,37882424851
421,73844765207
202,48757450216
462,16732614472
239,54102353074
381,55638016542
842,2257265558
241,25774343136
661,86536551228
923,460768641
330,12120765455
122,52800680687
428,76336784521
372,32145233430
727,75885052464
348,32866143156
778,53334383554
51,78845775670
301,35628651812
135,62617167777
726,28726007308
888,66480206667
299,6750244680
947,83481475274
93,57647104141
60,13705416640
726,71528281160
151,58558473137
805,56876731786
706,57484873264
702,74616543265
286,21433825180
109,8725348128
240,2324237116
286,43033848451
817,62782508213
78,40085177157
151,20426863154
172,33451682888
376,75326251465
239,7124087484
127,62645413013
164,54578356724
273,46780078115
462,50485218405
20,41812723738
942,62202403711
889,76151474063
927,16538152152
325,80588113802
595,56225388737
596,76464861375
35,87475081306
214,82566245201
315,64782017023
752,71363617826
167,28412078620
129,10827716878
534,87157333665
300,50404405024
370,78801013001
483,81037634356
825,31247246277
864,42254124700
232,36637001206
24,76574410328
583,37813182081
119,40727553526
780,53037871718
26,7700487542
433,58275401015
929,15301823171
957,75202810156
859,68421707277
475,8551726730
13,28810465853
212,30237268670
299,24832803840
224,78771254541
179,58845024757
495,53284827004
958,47631567266
330,4672431021
796,85851314380
773,27228017588
4,23545281684
626,50584280485
346,21281318582
851,66810702355
852,41230743722
496,8026486762
851,26067285534
931,7774803430
63,77576706840
360,77543585402
901,61275738587
19,60863685748
646,34074456451
491,51000167847
290,61261601254
123,74313140841
142,58466067661
325,17575828682
540,65460732810
215,13418630308
564,55381246588
181,58673820635
207,40084115581
393,34066352324
917,85636772023
82,14137346734
883,85337372508
952,46770731084
196,11406705174
185,34453140428
49,46588278011
614,86460376163
642,36674368235
39,10578511276
667,66013177284
279,48454134134
971,68654135801
687,35505762432
1,14604142203
